Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Maccullochella mariensis,Mary River Cod,Endangered,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,
Macquaria australasica,Macquarie Perch,Endangered,Extinct,,SA,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,
Macrotis lagotis,Greater Bilby,Vulnerable,Extinct,,NSW,Animalia,Chordata,Mammalia,Polyprotodonta,Thylacomyidae,
Malurus leucopterus edouardi,"White-winged Fairy-wren (Barrow Island), Barrow Island Black-and-white Fairy-wren",Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Malurus leucopterus leucopterus,"White-winged Fairy-wren (Dirk Hartog Island), Dirk Hartog Black-and-White Fairy-wren",Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Mastacomys fuscus mordicus,"Broad-toothed Rat (mainland), Tooarrana",Vulnerable,Extinct,,SA,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Megascolides australis,Giant Gippsland Earthworm,Vulnerable,Endemic,,VIC,Animalia,Annelida,Oligochaeta,Haplotaxida,Megascolecidae,
Melanodryas cucullata melvillensis,"Tiwi Islands Hooded Robin, Hooded Robin (Tiwi Islands)",Critically Endangered,Endemic,,NT,Animalia,Chordata,Aves,Passeriformes,Petroicidae,
Melanotaenia eachamensis,Lake Eacham Rainbowfish,Endangered,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,
Melanotaenia sp. nov. 'Malanda',Malanda Rainbowfish,Critically Endangered,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,
Melithreptus brevirostris magnirostris,Kangaroo Island Brown-headed Honeyeater,Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Melomys rubicola,Bramble Cay Melomys,Extinct,Extinct,,QLD,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Meridolum maryae,"Maroubra Woodland Snail, Maroubra Land Snail",Endangered,Endemic,,NSW,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Mesembriomys gouldii melvillensis,Black-footed Tree-rat (Melville Island),Vulnerable,Present,,NT,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Mesembriomys gouldii rattoides,"Black-footed Tree-rat (north Queensland), Shaggy Rabbit-rat",Vulnerable,Present,,QLD,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Mesodontrachia fitzroyana,Fitzroy Land Snail,Endangered,Endemic,,NT,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Milyeringa veritas,"Cape Range Cave Gudgeon, Blind Gudgeon",Vulnerable,Endemic,,WA,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,
Mirafra javanica melvillensis,Horsfield's Bushlark (Tiwi Islands),Vulnerable,Present,,NT,Animalia,Chordata,Aves,Passeriformes,Alaudidae,
Moggridgea rainbowi,Kangaroo Island Micro-trapdoor Spider,Endangered,Endemic,,SA,Animalia,Arthropoda,Arachnida,Araneae,Migidae,
Mogurnda clivicola,"Flinders Ranges Mogurnda, Flinders Ranges Purple-spotted Gudgeon",Vulnerable,Endemic,,SA,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,
Myrmecobius fasciatus,Numbat,Endangered,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Myrmecobiidae,
Myrmecobius fasciatus,Numbat,Endangered,Extinct,,NT,Animalia,Chordata,Mammalia,Polyprotodonta,Myrmecobiidae,
Nangura spinosa,Nangur Spiny Skink,Critically Endangered,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Nannatherina balstoni,Balston's Pygmy Perch,Vulnerable,Endemic,,WA,Animalia,Chordata,Actinopterygii,Perciformes,Nannopercidae,
Nannoperca pygmaea,Little Pygmy Perch,Endangered,Endemic,,WA,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,
Neoceratodus forsteri,"Australian Lungfish, Queensland Lungfish",Vulnerable,Endemic,,QLD,Animalia,Chordata,Sarcopterygii,Ceratodontiformes,Ceratodontidae,
Neochmia phaeton evangelinae,"Crimson Finch (white-bellied), White-bellied Crimson Finch",Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Passeriformes,Estrildidae,
Neopasiphae simplicior,A native bee,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,
Nesoptilotis leucotis thomasi,Kangaroo Island White-eared Honeyeater,Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Ninox novaeseelandiae albaria,"Lord Howe Southern Boobook, Lord Howe Boobook Owl",Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Aves,Strigiformes,Strigidae,
Notamacropus parma,Parma Wallaby,Vulnerable,Present,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Notechis scutatus ater,Krefft's Tiger Snake (Flinders Ranges),Vulnerable,Endemic,,SA,Animalia,Chordata,Reptilia,Squamata,Elapidae,
Notomys fuscus,"Dusky Hopping-mouse, Wilkiniti",Vulnerable,Historic,,NT,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Notomys longicaudatus,"Long-tailed Hopping-mouse, Koolawa, Talamba",Extinct,Present,,NSW,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",Extinct,Extinct,,WA,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Notomys robustus,"Broad-cheeked Hopping-mouse, Great Hopping-mouse",Extinct,Extinct,,SA,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Nyctophilus howensis,"Lord Howe Long-eared Bat, Lord Howe Island Bat",Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,
Ogyris subterrestris petrina,Arid Bronze Azure,Critically Endangered,Present,,WA,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",Endangered,Extinct,,SA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",Endangered,Present,,VIC,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",Endangered,Translocated,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Ophisternon candidum,Blind Cave Eel,Vulnerable,Present,,WA,Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,
Osphranter robustus isabellinus,"Barrow Island Wallaroo, Barrow Island Euro",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Paralucia pyrodiscus lucida,Eltham Copper Butterfly,Endangered,Present,,VIC,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,
Paralucia spinifera,"Bathurst Copper Butterfly, Purple Copper Butterfly, Bathurst Copper, Bathurst Copper Wing, Bathurst-Lithgow Copper, Purple Copper",Vulnerable,Endemic,,NSW,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,
Parantechinus apicalis,Dibbler,Endangered,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Perameles bougainville bougainville,Western Barred Bandicoot (Shark Bay),Endangered,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Perameles bougainville bougainville,Western Barred Bandicoot (Shark Bay),Endangered,Translocated,,SA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Perameles bougainville fasciata,"Western Barred Bandicoot (eastern), Liverpool Plains Striped Bandicoot",Extinct,Extinct,,NSW,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Perameles gunnii Victorian subspecies,Eastern Barred Bandicoot (Mainland),Endangered,Endemic,,VIC,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Perameles gunnii Victorian subspecies,Eastern Barred Bandicoot (Mainland),Endangered,Present,,SA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Petauroides minor,"Greater Glider (northern), Greater Glider (north-eastern Queensland)",Vulnerable,Present,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Pseudocheiridae,
Petaurus australis Wet Tropics subspecies,"Yellow-bellied Glider (Wet Tropics), Fluffy Glider",Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Petauridae,
Petaurus gracilis,Mahogany Glider,Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Petauridae,
Petrogale coenensis,Cape York Rock-wallaby,Endangered,Present,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale concinna canescens,Nabarlek (Top End),Endangered,Present,,NT,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale concinna concinna,Nabarlek (Victoria River District),Critically Endangered,Endemic,,NT,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale concinna monastria,Nabarlek (Kimberley),Endangered,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale lateralis hacketti,Recherche Rock-wallaby,Vulnerable,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale lateralis lateralis,"Black-flanked Rock-wallaby, Moororong, Black-footed Rock Wallaby",Endangered,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale persephone,Proserpine Rock-wallaby,Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale sharmani,"Mount Claro Rock Wallaby, Sharman's Rock Wallaby",Vulnerable,Present,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Petrogale xanthopus celeris,Yellow-footed Rock-wallaby (central-western Queensland),Vulnerable,Present,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Pezoporus flaviventris,"Western Ground Parrot, Kyloring",Critically Endangered,Endemic,,WA,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Phascogale calura,"Red-tailed Phascogale, Red-tailed Wambenger, Kenngoor",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Phascogale pirata,Northern Brush-tailed Phascogale,Vulnerable,Present,,NT,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Phascogale tapoatafa kimberleyensis,"Kimberley brush-tailed phascogale, Brush-tailed Phascogale (Kimberley)",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Philoria frosti,Baw Baw Frog,Critically Endangered,Endemic,,VIC,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,
Philoria richmondensis,Richmond Range Sphagnum Frog,Endangered,Present,,NSW,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,
Phyllurus gulbaru,Gulbaru Gecko,Critically Endangered,Present,,QLD,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,
Placostylus bivaricosus,"Lord Howe Flax Snail, Lord Howe Placostylus",Endangered,Endemic,Lord Howe Island,NSW,Animalia,Mollusca,Gastropoda,Pulmonata,Bulimulidae,
Platycercus elegans melanopterus,Kangaroo Island Crimson Rosella,Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Pommerhelix duralensis,Dural Land Snail,Endangered,Endemic,,NSW,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Porphyrio albus,White Gallinule,Extinct,Extinct,,NSW,Animalia,Chordata,Aves,Gruiformes,Rallidae,
Potorous gilbertii,"Gilbert's Potoroo, Ngilkat",Critically Endangered,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Potorous platyops,"Broad-faced Potoroo, Moda",Extinct,Extinct,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Probosciger aterrimus macgillivrayi,Palm Cockatoo (Australian),Vulnerable,Present,,QLD,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal, Thaku, Arrmorral, Minpin",Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Pseudemydura umbrina,Western Swamp Tortoise,Critically Endangered,Endemic,,WA,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Pseudocheirus occidentalis,"Western Ringtail Possum, Ngwayir, Womp, Woder, Ngoor, Ngoolangit",Critically Endangered,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Pseudocheiridae,
Pseudococcus markharveyi,Banksia montana mealybug,Critically Endangered,Present,,WA,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,
Pseudomugil mellis,"Honey Blue Eye, Honey Blue-eye",Vulnerable,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Atheriniformes,Pseudomugilidae,
Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,Endemic,,NSW,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudophryne corroboree,Southern Corroboree Frog,Critically Endangered,Endemic,,NSW,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Pseudophryne covacevichae,Magnificent Brood Frog,Vulnerable,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Psophodes nigrogularis nigrogularis,Western Heath Whipbird ,Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Psophodidae,
Pteropus brunneus,"Percy Island Flying-fox, Dusky Fruit Bat",Extinct,Present,,QLD,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
